segmentnr	original	folio	analyzed
ZH_X59_1084_001:0331b10	觀想曼拏囉下卷。想	001	觀 想 曼 拏 囉 下 卷  想 
ZH_X59_1084_001:0331b11	手印上。出金剛焰。遣	001	手 印 上  出 金 剛 焰  遣 
ZH_X59_1084_001:0331b12	境界魔。金剛頂經修	001	境 界 魔  金 剛 頂 經 修 
ZH_X59_1084_001:0331b13	習毗盧遮那三摩地	001	習 毗 盧 遮 那 三 摩 地 
ZH_X59_1084_001:0331b14	法云。次以威怒降三世。淨治內外所生障。二羽交臂	001	法 云  次 以 威 怒 降 三 世  淨 治 內 外 所 生 障  二 羽 交 臂 
ZH_X59_1084_001:0331b15	金剛拳。檀慧相鈎進力竪。行者想身發威熖。八臂四	001	金 剛 拳  檀 慧 相 鈎 進 力 竪  行 者 想 身 發 威 熖  八 臂 四 
ZH_X59_1084_001:0331b16	面竪利牙。震吼吽字如雷音。頂右回旋成結界)。	001	面 竪 利 牙  震 吼 吽 字 如 雷 音  頂 右 回 旋 成 結 界   
ZH_X59_1084_001:0331b17	遣魔真言	001	遣 魔 真 言 
ZH_X59_1084_001:0331b18	唵斡資囉(二合)牙恰吽	001	唵 斡 資 囉  二 合  牙 恰 吽 
ZH_X59_1084_001:0331b20	(二手外相义。二頭	001	 二 手 外 相 义  二 頭 
ZH_X59_1084_001:0331b21	指直竪。結印當胷。	001	指 直 竪  結 印 當 胷  
ZH_X59_1084_001:0331b22	手動似扇。印出火	001	手 動 似 扇  印 出 火 
ZH_X59_1084_001:0331b23	光。而遣諸魔)。	001	光  而 遣 諸 魔   
ZH_X59_1084_001:0331b24	遣魔真言	001	遣 魔 真 言 
ZH_X59_1084_001:0331b25	唵斡資囉(二合)佐辣啞捺辣曷捺答曷巴拶麼塔班拶	001	唵 斡 資 囉  二 合  佐 辣 啞 捺 辣 曷 捺 答 曷 巴 拶 麼 塔 班 拶 
ZH_X59_1084_001:0331c01	囉納吽癹吒	001	囉 納 吽 癹 吒 
ZH_X59_1084_001:0331c03	(二手內相义。十指仰	001	 二 手 內 相 义  十 指 仰 
ZH_X59_1084_001:0331c04	上。結印當胷。想印中	001	上  結 印 當 胷  想 印 中 
ZH_X59_1084_001:0331c05	放出金剛焰。令諸魔	001	放 出 金 剛 焰  令 諸 魔 
ZH_X59_1084_001:0331c06	遠離)。	001	遠 離   
ZH_X59_1084_001:0331c07	真空呪印(二手內相义。進禪力智直竪念真言)。	001	真 空 呪 印  二 手 內 相 义  進 禪 力 智 直 竪 念 真 言   
ZH_X59_1084_001:0331c09	唵莎癹斡順牙(二合)薩哩斡(二合)答哩麻(二合)莎癹斡順牙	001	唵 莎 癹 斡 順 牙  二 合  薩 哩 斡  二 合  答 哩 麻  二 合  莎 癹 斡 順 牙 
ZH_X59_1084_001:0331c10	(二合)達(二合)	001	 二 合  達  二 合  
ZH_X59_1084_001:0331c11	(侍者白云)于空性中想	001	 侍 者 白 云  于 空 性 中 想 
ZH_X59_1084_001:0331c12	(阿闍黎觀想此梵書九字)[口*(隆-一)][口*(隆-一)]	001	 阿 闍 黎 觀 想 此 梵 書 九 字  [口隆一][口隆一] 
ZH_X59_1084_001:0331c13	(二合)[口*普][口*(隆-一)](二合)[口*普]	001	 二 合  [口普][口隆一]二合[口普] 
ZH_X59_1084_001:0331c14	[口*(隆-一)](二合)啞啞啞	001	[口隆一]  二 合  啞 啞 啞 
ZH_X59_1084_001:0331c15	吽吽(此下眾和)吽而	001	吽 吽  此 下 眾 和  吽 而 
ZH_X59_1084_001:0331c16	成十方世界所有天妙曼怛啞哩干濯足花香燈塗	001	成 十方世界 所 有 天 妙 曼 怛 啞 哩 干 濯 足 花 香 燈 塗 
ZH_X59_1084_001:0331c17	食樂。清徹無礙。猶如普賢化現。種種雲集供養。徧滿	001	食 樂  清 徹 無 礙  猶 如 普 賢 化 現  種 種 雲 集 供 養  徧 滿 
ZH_X59_1084_001:0331c18	虗空。充塞法界。盡輪迴際。無有間斷。	001	虗 空  充 塞 法 界  盡 輪 迴 際  無有間斷  
ZH_X59_1084_001:0331c19	(二手內相义。進力禪智直竪。大毗盧遮那成佛神變	001	 二 手 內 相 义  進 力 禪 智 直 竪  大 毗 盧 遮 那 成 佛 神 變 
ZH_X59_1084_001:0331c20	加持經第四云。由結此印誦真言故。其壇中諸佛菩	001	加 持 經 第 四 云  由 結 此 印 誦 真 言 故  其 壇 中 諸 佛 菩 
ZH_X59_1084_001:0331c21	薩。及諸聖眾。量同虗空。徧周法界。成報土佛剎。佛說	001	薩  及 諸 聖 眾  量 同 虗 空  徧 周 法 界  成 報 土 佛 剎  佛 說 
ZH_X59_1084_001:0331c22	一切如來金剛三業最上秘密大教王經第二云。當	001	一 切 如 來 金 剛 三 業 最 上 秘 密 大 教 王 經 第 二 云  當 
ZH_X59_1084_001:0331c23	觀想勃籠字。即成虗空金剛心曼拏囉。一切金剛周	001	觀 想 勃 籠 字  即 成 虗 空 金 剛 心 曼 拏 囉  一 切 金 剛 周 
ZH_X59_1084_001:0331c24	匝圍繞。故云于空性中等。大威怒烏芻儀軌云。當奉	001	匝 圍 繞  故 云 于 空 性 中 等  大 威 怒 烏 芻 儀 軌 云  當 奉 
ZH_X59_1084_001:0331c25	閼伽香水器浴聖眾足。故云啞哩干濯足。此中皆是	001	閼 伽 香 水 器 浴 聖 眾 足  故 云 啞 哩 干 濯 足  此 中 皆 是 
ZH_X59_1084_001:0331c26	無礙報土不思議境界。故云猶如普賢等。勃籠字	001	無 礙 報 土 不思議境 界  故 云 猶 如 普 賢 等  勃 籠 字 
ZH_X59_1084_001:0331c27	即[口*普][口*(隆-一)]。唐言佛寶閣)。	001	即 [口普][口隆一]  唐 言 佛 寶 閣   
ZH_X59_1084_001:0332a01	唵薩哩斡(二合)答塔葛達薩叭哩咓囉(啞哩干巴　丹)巴囉(二合)	001	唵 薩 哩 斡  二 合  答 塔 葛 達 薩 叭 哩 咓 囉  啞 哩 干 巴  丹  巴 囉  二 合  
ZH_X59_1084_001:0332a02	諦拶耶莎訶	001	諦 拶 耶 莎 訶 
ZH_X59_1084_001:0332a03	五供養	001	五 供 養 
ZH_X59_1084_001:0332a04	唵薩哩斡(二合)答塔葛達薩叭哩咓囉	001	唵 薩 哩 斡  二 合  答 塔 葛 達 薩 叭 哩 咓 囉 
ZH_X59_1084_001:0332a05	唵斡資囉(二合)不思必啞吽	001	唵 斡 資 囉  二 合  不 思 必 啞 吽 
ZH_X59_1084_001:0332a06	唵斡資囉(二合)捨不答布拶彌渴薩謨的囉(二合)斯癹囉	001	唵 斡 資 囉  二 合  捨 不 答 布 拶 彌 渴 薩 謨 的 囉  二 合  斯 癹 囉 
ZH_X59_1084_001:0332a07	納三麻耶啞吽	001	納 三 麻 耶 啞 吽 
ZH_X59_1084_001:0332a08	唵薩哩斡(二合)答塔葛達薩叭哩咓囉	001	唵 薩 哩 斡  二 合  答 塔 葛 達 薩 叭 哩 咓 囉 
ZH_X59_1084_001:0332a09	唵斡資囉(二合)度必啞吽	001	唵 斡 資 囉  二 合  度 必 啞 吽 
ZH_X59_1084_001:0332a10	唵斡資囉(二合)捨不答布拶彌渴薩謨的囉(二合)斯癹囉	001	唵 斡 資 囉  二 合  捨 不 答 布 拶 彌 渴 薩 謨 的 囉  二 合  斯 癹 囉 
ZH_X59_1084_001:0332a11	納三麻耶啞吽	001	納 三 麻 耶 啞 吽 
ZH_X59_1084_001:0332a12	唵薩哩斡(二合)答塔葛達薩叭哩咓囉	001	唵 薩 哩 斡  二 合  答 塔 葛 達 薩 叭 哩 咓 囉 
ZH_X59_1084_001:0332a13	唵斡資囉(二合)啞嚕吉啞吽	001	唵 斡 資 囉  二 合  啞 嚕 吉 啞 吽 
ZH_X59_1084_001:0332a14	唵斡資囉(二合)捨不答布拶彌渴薩謨的囉(二合)斯癹囉	001	唵 斡 資 囉  二 合  捨 不 答 布 拶 彌 渴 薩 謨 的 囉  二 合  斯 癹 囉 
ZH_X59_1084_001:0332a15	納三麻耶啞吽	001	納 三 麻 耶 啞 吽 
ZH_X59_1084_001:0332a16	唵薩哩斡(二合)答塔葛達薩叭哩咓囉	001	唵 薩 哩 斡  二 合  答 塔 葛 達 薩 叭 哩 咓 囉 
ZH_X59_1084_001:0332a17	唵斡資囉(二合)干底啞吽	001	唵 斡 資 囉  二 合  干 底 啞 吽 
ZH_X59_1084_001:0332a18	唵斡資囉(二合)捨不答布拶彌渴薩謨的囉(二合)斯癹囉	001	唵 斡 資 囉  二 合  捨 不 答 布 拶 彌 渴 薩 謨 的 囉  二 合  斯 癹 囉 
ZH_X59_1084_001:0332a19	納三麻耶啞吽	001	納 三 麻 耶 啞 吽 
ZH_X59_1084_001:0332a20	唵薩哩斡(二合)答塔葛達薩叭哩咓囉	001	唵 薩 哩 斡  二 合  答 塔 葛 達 薩 叭 哩 咓 囉 
ZH_X59_1084_001:0332a21	唵斡資囉(二合)你微的啞吽	001	唵 斡 資 囉  二 合  你 微 的 啞 吽 
ZH_X59_1084_001:0332a22	唵斡資囉(二合)捨不答布拶彌渴薩謨的囉(二合)斯癹囉	001	唵 斡 資 囉  二 合  捨 不 答 布 拶 彌 渴 薩 謨 的 囉  二 合  斯 癹 囉 
ZH_X59_1084_001:0332a23	納三麻耶啞吽	001	納 三 麻 耶 啞 吽 
ZH_X59_1084_001:0332a24	音樂呪	001	音 樂 呪 
ZH_X59_1084_001:0332b01	唵斡資囉(二合)看支夷囉納(二合)囉納(二合)不囉(二合)囉納不	001	唵 斡 資 囉  二 合  看 支 夷 囉 納  二 合  囉 納  二 合  不 囉  二 合  囉 納 不 
ZH_X59_1084_001:0332b02	囉(二合)囉納三不囉(二合)囉納三不囉(二合)囉納薩哩斡(二合)	001	囉  二 合  囉 納 三 不 囉  二 合  囉 納 三 不 囉  二 合  囉 納 薩 哩 斡  二 合  
ZH_X59_1084_001:0332b03	孛塔赤的囉(二合)不羅拶哩答麻曷不囉(二合)尼牙(二合)巴	001	孛 塔 赤 的 囉  二 合  不 羅 拶 哩 答 麻 曷 不 囉  二 合  尼 牙  二 合  巴 
ZH_X59_1084_001:0332b04	囉蔑答那達速巴微薩哩斡(二合)塔哩麻(二合)[口*紇]哩(二合)達	001	囉 蔑 答 那 達 速 巴 微 薩 哩 斡  二 合  塔 哩 麻  二 合  [口紇] 哩  二 合  達 
ZH_X59_1084_001:0332b05	耶傘多沙納葛哩吽吽和和啞龕莎訶	001	耶 傘 多 沙 納 葛 哩 吽 吽 和 和 啞 龕 莎 訶 
ZH_X59_1084_001:0332b06	(至此不特唯心變現。而且轉成受用報土。不思議供	001	 至 此 不 特 唯 心 變 現  而 且 轉 成 受 用 報 土  不 思 議 供 
ZH_X59_1084_001:0332b07	養。故與前不可)。	001	養  故 與 前 不 可   
ZH_X59_1084_001:0332b08	十二因緣呪(阿闍黎持花米誦云)。	001	十二因緣 呪  阿 闍 黎 持 花 米 誦 云   
ZH_X59_1084_001:0332b09	唵耶答兒麻(二合)兮都不囉(二合)巴斡兮敦的山答塔葛	001	唵 耶 答 兒 麻  二 合  兮 都 不 囉  二 合  巴 斡 兮 敦 的 山 答 塔 葛 
ZH_X59_1084_001:0332b10	達歇斡怛的山拶約尼嚕怛耶[口*邦]叭諦麻曷釋囉(二合)	001	達 歇 斡 怛 的 山 拶 約 尼 嚕 怛 耶 [口邦] 叭 諦 麻 曷 釋 囉  二 合  
ZH_X59_1084_001:0332b11	麻納耶莎訶	001	麻 納 耶 莎 訶 
ZH_X59_1084_001:0332b12	唵(一)(引)啞(二)(引)吽(三)(引)(念三遍就撒花米。持鈴念曼拏囉偈)	001	唵  一   引  啞  二   引  吽  三   引   念 三 遍 就 撒 花 米  持 鈴 念 曼 拏 囉 偈  
ZH_X59_1084_001:0332b13	(密呪圓因集云。凡修功德。誦此慶成)。	001	 密 呪 圓 因 集 云  凡 修 功 德  誦 此 慶 成   
ZH_X59_1084_001:0332b14	曼拏囉偈	001	曼 拏 囉 偈 
ZH_X59_1084_001:0332b15	　諦想清淨廣大曼拏囉　　四洲充滿無量諸珍寶	001	 諦 想 清 淨 廣 大 曼 拏 囉   四 洲 充 滿 無 量 諸 珍 寶 
ZH_X59_1084_001:0332b16	　一一皆如玅高摩尼聚　　奉獻上師三寶願安住	001	 一 一 皆 如 玅 高 摩 尼 聚   奉 獻 上 師 三 寶 願 安 住 
ZH_X59_1084_001:0332b17	曼拏囉真言	001	曼 拏 囉 真 言 
ZH_X59_1084_001:0332b18	唵薩哩斡(二合)答塔葛答囉的捺(二合)麻曷曼答辣布拶	001	唵 薩 哩 斡  二 合  答 塔 葛 答 囉 的 捺  二 合  麻 曷 曼 答 辣 布 拶 
ZH_X59_1084_001:0332b19	彌渴薩謨的囉(二合)斯癹囉納三麻耶啞吽	001	彌 渴 薩 謨 的 囉  二 合  斯 癹 囉 納 三 麻 耶 啞 吽 
ZH_X59_1084_001:0332b20	　∴寶山寶海妙寶座　　天衣瓔珞如意樹	001	  寶 山 寶 海 妙 寶 座   天 衣 瓔 珞 如 意 樹 
ZH_X59_1084_001:0332b21	　寶池妙花香燈塗　　周徧法界滿虗空	001	 寶 池 妙 花 香 燈 塗   周 徧 法 界 滿 虗 空 
ZH_X59_1084_001:0332b22	　∴寶珠自性廣大海　　七寶之中最殊勝	001	  寶 珠 自 性 廣 大 海   七 寶 之 中 最 殊 勝 
ZH_X59_1084_001:0332b23	　獻如雲聚妙寶供　　我今虔誠而奉獻	001	 獻 如 雲 聚 妙 寶 供   我 今 虔 誠 而 奉 獻 
ZH_X59_1084_001:0332b24	　∴中央八峯須彌盧　　四大部洲諸形相	001	  中 央 八 峯 須 彌 盧   四大部洲 諸 形 相 
ZH_X59_1084_001:0332c01	　以日月等而圍遶　　黃金白銀與寶玉	001	 以 日 月 等 而 圍 遶   黃 金 白 銀 與 寶 玉 
ZH_X59_1084_001:0332c02	　∴麻薩葛斡及琉璃　　赤珠乃至石心等	001	  麻 薩 葛 斡 及 琉 璃   赤 珠 乃 至 石 心 等 
ZH_X59_1084_001:0332c03	　奉獻上師三寶尊　　唯願慈悲哀納受	001	 奉 獻 上 師 三 寶 尊   唯 願 慈 悲 哀 納 受 
ZH_X59_1084_001:0332c04	唵薩哩斡(二合)答塔葛達囉的捺(二合)麻曷曼答辣布拶	001	唵 薩 哩 斡  二 合  答 塔 葛 達 囉 的 捺  二 合  麻 曷 曼 答 辣 布 拶 
ZH_X59_1084_001:0332c05	彌渴薩謨的囉(二合)斯癹囉納三麻耶啞吽	001	彌 渴 薩 謨 的 囉  二 合  斯 癹 囉 納 三 麻 耶 啞 吽 
ZH_X59_1084_001:0332c06	(此以報土妙曼拏囉。及妙供具。總献上師三寶)。	001	 此 以 報 土 妙 曼 拏 囉  及 妙 供 具  總 献 上 師 三 寶   
ZH_X59_1084_001:0332c07	　∴我今依教建立曼拏囉　　量等虗空金剛為寶地	001	  我 今 依 教 建 立 曼 拏 囉   量 等 虗 空 金 剛 為 寶 地 
ZH_X59_1084_001:0332c08	　字字密言惟心之所成　　須彌日月七寶四天下	001	 字 字 密 言 惟 心 之 所 成   須 彌 日 月 七 寶 四 天 下 
ZH_X59_1084_001:0332c09	　∴衣服傘盖伎樂幢幡雲　　寶座珍羞樓閣并宮殿	001	  衣 服 傘 盖 伎 樂 幢 幡 雲   寶 座 珍 羞 樓 閣 并 宮 殿 
ZH_X59_1084_001:0332c10	　池沼園林名花普徧布　　奉獻上師三寶護神等	001	 池 沼 園 林 名 花 普 徧 布   奉 獻 上 師 三 寶 護 神 等 
ZH_X59_1084_001:0332c11	　∴惟願慈悲納受生歡悅　　屏除魔礙集福施安寧	001	  惟 願 慈 悲 納 受 生 歡 悅   屏 除 魔 礙 集 福 施 安 寧 
ZH_X59_1084_001:0332c12	　今宵施主所求皆如意　　盡未來際吉祥無間斷	001	 今 宵 施 主 所 求 皆 如 意   盡未來際 吉 祥 無 間 斷 
ZH_X59_1084_001:0332c13	(佛說瑜伽大教王經云。右手持金剛杵。左手振金剛	001	 佛 說 瑜 伽 大 教 王 經 云  右 手 持 金 剛 杵  左 手 振 金 剛 
ZH_X59_1084_001:0332c14	鈴。即以歌贊供養賢聖。如是依金剛大乘。作最上真	001	鈴  即 以 歌 贊 供 養 賢 聖  如 是 依 金 剛 大 乘  作 最 上 真 
ZH_X59_1084_001:0332c15	實供養已。諸佛賢聖。悉皆歡喜。此是結撮回向。再念	001	實 供 養 已  諸 佛 賢 聖  悉 皆 歡 喜  此 是 結 撮 回 向  再 念 
ZH_X59_1084_001:0332c16	奉献真言)。	001	奉 献 真 言   
ZH_X59_1084_001:0332c17	唵薩哩斡(二合)答塔葛達囉的捺(二合)麻曷曼答辣布拶	001	唵 薩 哩 斡  二 合  答 塔 葛 達 囉 的 捺  二 合  麻 曷 曼 答 辣 布 拶 
ZH_X59_1084_001:0332c18	彌渴薩謨的囉(二合)斯癹囉納三麻耶啞吽(手持花米上舉誦之)	001	彌 渴 薩 謨 的 囉  二 合  斯 癹 囉 納 三 麻 耶 啞 吽  手 持 花 米 上 舉 誦 之  
ZH_X59_1084_001:0332c19	惟願上師三寶。中圍佛會。慈悲攝授。今辰施主。福慧	001	惟 願 上 師 三 寶  中 圍 佛 會  慈 悲 攝 授  今 辰 施 主  福 慧 
ZH_X59_1084_001:0332c20	莊嚴。世出世間。吉祥如意。普及法界。一切有情。速成	001	莊 嚴  世出世間  吉 祥 如 意  普 及 法 界  一切有情  速 成 
ZH_X59_1084_001:0332c21	無上。佛果菩提	001	無 上  佛 果 菩 提 
ZH_X59_1084_001:0332c22	捺謨孤嚕(二合)毗耶　捺謨勃塔耶	001	捺 謨 孤 嚕  二 合  毗 耶  捺 謨 勃 塔 耶 
ZH_X59_1084_001:0332c23	捺謨達而麻耶　捺謨桑渴耶	001	捺 謨 達 而 麻 耶  捺 謨 桑 渴 耶 
ZH_X59_1084_001:0332c24	唵(一)(引)啞(二)(引)吽(三)(引)	001	唵  一   引  啞  二   引  吽  三   引  
ZH_X59_1084_001:0333a01	(阿闍黎于此親見中圍佛會。故自皈依已。復勸大眾	001	 阿 闍 黎 于 此 親 見 中 圍 佛 會  故 自 皈 依 已  復 勸 大 眾 
ZH_X59_1084_001:0333a02	發心。十八會經初會中。有為弟子授速證菩薩地法)。	001	發 心  十 八 會 經 初 會 中  有 為 弟 子 授 速 證 菩 薩 地 法   
ZH_X59_1084_001:0333a03	三歸依讚	001	三 歸 依 讚 
ZH_X59_1084_001:0333a04	佛法僧寶。體徧十方。恭敬請祈。必蒙感應。將當闡揚	001	佛 法 僧 寶  體 徧 十 方  恭 敬 請 祈  必 蒙 感 應  將 當 闡 揚 
ZH_X59_1084_001:0333a05	施食之初。先須歸敬三寶。要祈法事周隆。庶使勝因	001	施 食 之 初  先 須 歸 敬 三 寶  要 祈 法 事 周 隆  庶 使 勝 因 
ZH_X59_1084_001:0333a06	成就。大眾虔誠。隨聲應和。	001	成 就  大 眾 虔 誠  隨 聲 應 和  
ZH_X59_1084_001:0333a07	志心信禮佛陀耶兩足尊。三覺圓。萬德具。天人調御	001	志 心 信 禮 佛 陀 耶 兩 足 尊  三 覺 圓  萬 德 具  天 人 調 御 
ZH_X59_1084_001:0333a08	師(唵啞吽)。凡聖大慈父。從真界。騰應質。悲化普。竪窮三	001	師  唵 啞 吽   凡 聖 大 慈 父  從 真 界  騰 應 質  悲 化 普  竪 窮 三 
ZH_X59_1084_001:0333a09	際時。橫徧十方。處震法雷。鳴法鼓。廣演權實教(唵啞吽)。	001	際 時  橫 徧 十 方  處 震 法 雷  鳴 法 鼓  廣 演 權 實 教  唵 啞 吽   
ZH_X59_1084_001:0333a10	大開方便路。若歸依。能消滅地獄苦。	001	大 開 方 便 路  若 歸 依  能 消 滅 地 獄 苦  
ZH_X59_1084_001:0333a11	志心信禮達磨耶離欲尊。寶藏收王。凾貯。結集于西	001	志 心 信 禮 達 磨 耶 離 欲 尊  寶 藏 收 王  凾 貯  結 集 于 西 
ZH_X59_1084_001:0333a12	域(唵啞吽)。飜譯傳東士。祖師弘。賢哲判。成章疏。三乘分	001	域  唵 啞 吽   飜 譯 傳 東 士  祖 師 弘  賢 哲 判  成 章 疏  三 乘 分 
ZH_X59_1084_001:0333a13	頓漸。五教定宗趣。鬼神欽。龍天護。導迷標月指(唵啞吽)。	001	頓 漸  五 教 定 宗 趣  鬼 神 欽  龍 天 護  導 迷 標 月 指  唵 啞 吽   
ZH_X59_1084_001:0333a14	除熱真甘露。若歸依。能消滅餓鬼苦。	001	除 熱 真 甘 露  若 歸 依  能 消 滅 餓 鬼 苦  
ZH_X59_1084_001:0333a15	志心信禮僧伽耶眾中尊。五德師。六和侶。利生為事	001	志 心 信 禮 僧 伽 耶 眾 中 尊  五 德 師  六 和 侶  利 生 為 事 
ZH_X59_1084_001:0333a16	業(唵啞吽)。弘法是家務。避囂塵。常晏坐。寂靜處。遮身服	001	業  唵 啞 吽   弘 法 是 家 務  避 囂 塵  常 晏 坐  寂 靜 處  遮 身 服 
ZH_X59_1084_001:0333a17	毳衣。充腹採薪薇。鉢降龍。錫解虎。法燈常徧照(唵啞吽)。	001	毳 衣  充 腹 採 薪 薇  鉢 降 龍  錫 解 虎  法 燈 常 徧 照  唵 啞 吽   
ZH_X59_1084_001:0333a18	祖印相傳付。若歸依。能消滅旁生苦。	001	祖 印 相 傳 付  若 歸 依  能 消 滅 旁 生 苦  
ZH_X59_1084_001:0333a19	　∴三寶聖眾垂加護	001	  三 寶 聖 眾 垂 加 護 
ZH_X59_1084_001:0333a20	眾等發廣大心(皈依金剛上師句下眾和)。	001	眾 等 發 廣 大 心  皈 依 金剛上師 句 下 眾 和   
ZH_X59_1084_001:0333a21	歸依金剛上師。歸依佛。歸依法。歸依僧。我今發心。不	001	歸 依 金剛上師  歸 依 佛  歸 依 法  歸 依 僧  我 今 發 心  不 
ZH_X59_1084_001:0333a22	為自求人天福報。聲聞緣覺。乃至權乘諸位菩薩。唯	001	為 自 求 人 天 福 報  聲 聞 緣 覺  乃 至 權 乘 諸 位 菩 薩  唯 
ZH_X59_1084_001:0333a23	依最上乘發菩提心。願與法界眾生。一時同得阿耨	001	依 最 上 乘 發菩提心  願 與 法 界 眾 生  一 時 同 得 阿 耨 
ZH_X59_1084_001:0333a24	多羅三藐三菩提心。	001	多 羅 三藐三菩提 心  
ZH_X59_1084_001:0333b01	　先結大輪明王印　　加持壇場悉清淨	001	 先 結 大 輪 明 王 印   加 持 壇 場 悉 清 淨 
ZH_X59_1084_001:0333b02	　我今依教誦密言　　令我所作皆成就	001	 我 今 依 教 誦 密 言   令 我 所 作 皆 成 就 
ZH_X59_1084_001:0333b03	默念大輪明王呪七遍	001	默 念 大 輪 明 王 呪 七 遍 
ZH_X59_1084_001:0333b04	(金剛頂略出念誦經四種念誦。一音聲念誦。一切聲	001	 金 剛 頂 略 出 念 誦 經 四 種 念 誦  一 音 聲 念 誦  一 切 聲 
ZH_X59_1084_001:0333b05	是也。二金剛念誦。合口動舌。默念是也。三三摩地念	001	是 也  二 金 剛 念 誦  合 口 動 舌  默 念 是 也  三三摩地 念 
ZH_X59_1084_001:0333b06	誦。心念是也。四真實念誦。如字義修行是也。佛說秘	001	誦  心 念 是 也  四 真 實 念 誦  如 字 義 修 行 是 也  佛 說 秘 
ZH_X59_1084_001:0333b07	密相經云。若持誦時。不動舌端。唇齒相合。離諸音聲。	001	密 相 經 云  若 持 誦 時  不 動 舌 端  唇 齒 相 合  離 諸 音 聲  
ZH_X59_1084_001:0333b08	但以金剛語音而為持誦。即能成就一切儀軌)。	001	但 以 金 剛 語 音 而 為 持 誦  即 能 成 就 一 切 儀 軌   
ZH_X59_1084_001:0333b10	捺麻斯得哩(二合)野脫	001	捺 麻 斯 得 哩  二 合  野 脫 
ZH_X59_1084_001:0333b11	夷(二合)葛喃薩哩斡(二合)	001	夷  二 合  葛 喃 薩 哩 斡  二 合  
ZH_X59_1084_001:0333b12	怛塔葛達喃唵微囉	001	怛 塔 葛 達 喃 唵 微 囉 
ZH_X59_1084_001:0333b13	積微囉積麻曷拶葛	001	積 微 囉 積 麻 曷 拶 葛 
ZH_X59_1084_001:0333b14	囉(二合)斡資哩(二合)斡資	001	囉  二 合  斡 資 哩  二 合  斡 資 
ZH_X59_1084_001:0333b15	哩(二合)薩怛薩怛薩囉諦薩囉諦得囉(二合)夷得囉(二合)夷	001	哩  二 合  薩 怛 薩 怛 薩 囉 諦 薩 囉 諦 得 囉  二 合  夷 得 囉  二 合  夷 
ZH_X59_1084_001:0333b16	微馱麻尼(二合)三攀拶納禰得囉(二合)麻禰的席塔[口*紇]哩	001	微 馱 麻 尼  二 合  三 攀 拶 納 禰 得 囉  二 合  麻 禰 的 席 塔 [口紇] 哩 
ZH_X59_1084_001:0333b17	(二合)得蘭(二合)顏席提脫夷(二合)莎訶	001	 二 合  得 蘭  二 合  顏 席 提 脫 夷  二 合  莎 訶 
ZH_X59_1084_001:0333b18	(甘露軍茶利儀軌云。二手內相义。進力並伸直。忍願	001	 甘 露 軍 茶 利 儀 軌 云  二 手 內 相 义  進 力 並 伸 直  忍 願 
ZH_X59_1084_001:0333b19	纏進力初節前。各以峯相拄。禪智並伸直。又云。應結	001	纏 進 力 初 節 前  各 以 峯 相 拄  禪 智 並 伸 直  又 云  應 結 
ZH_X59_1084_001:0333b20	金剛輪菩薩印。誦密語。以入曼拏囉者。受得三世無	001	金 剛 輪 菩 薩 印  誦 密 語  以 入 曼 拏 囉 者  受 得 三 世 無 
ZH_X59_1084_001:0333b21	障礙。三種菩薩律儀。由入曼拏囉。身心備十微塵剎	001	障 礙  三 種 菩 薩 律 儀  由 入 曼 拏 囉  身 心 備 十 微 塵 剎 
ZH_X59_1084_001:0333b22	世界。微塵數三昧耶。無作戒禁。或因屈伸俯仰。發言	001	世 界  微 塵 數 三 昧 耶  無 作 戒 禁  或 因 屈 伸 俯 仰  發 言 
ZH_X59_1084_001:0333b23	吐氣。起心動念。廢忘菩提之心。退失善根。以此印契	001	吐 氣  起 心 動 念  廢 忘 菩提之心  退 失 善 根  以 此 印 契 
ZH_X59_1084_001:0333b24	密言。殊勝方便。誦持作意。能除違犯愆咎。三昧耶如	001	密 言  殊 勝 方 便  誦 持 作 意  能 除 違 犯 愆 咎  三 昧 耶 如 
ZH_X59_1084_001:0333b25	故。倍加光顯。能淨身口意故。則成入一切曼拏囉。獲	001	故  倍 加 光 顯  能 淨 身 口 意 故  則 成 入 一 切 曼 拏 囉  獲 
ZH_X59_1084_001:0333b26	得灌頂三摩耶。唐沙門慧日云。有人未曾經和尚阿	001	得 灌 頂 三 摩 耶  唐 沙 門 慧 日 云  有 人 未 曾 經 和 尚 阿 
ZH_X59_1084_001:0333c01	闍黎入大曼茶囉壇場者。但寬取大輪明王金剛呪。	001	闍 黎 入 大 曼 茶 囉 壇 場 者  但 寬 取 大 輪 明 王 金 剛 呪  
ZH_X59_1084_001:0333c02	誦二十一遍。即當入壇。然後作諸呪法。悉得成就。又	001	誦 二 十 一 遍  即 當 入 壇  然 後 作 諸 呪 法  悉 得 成 就  又 
ZH_X59_1084_001:0333c03	云。誦密言時。作是觀想。盡虗空。徧法界。三界生死。六	001	云  誦 密 言 時  作 是 觀 想  盡 虗 空  徧 法 界  三 界 生 死  六 
ZH_X59_1084_001:0333c04	趣有情。速得入金剛界大曼拏囉等。同金剛薩埵大	001	趣 有 情  速 得 入 金 剛 界 大 曼 拏 囉 等  同 金 剛 薩 埵 大 
ZH_X59_1084_001:0333c05	菩薩)。	001	菩 薩   
ZH_X59_1084_001:0333c15	(師印呪可知。應想面前空處。離身七肘高八肘。現一	001	 師 印 呪 可 知  應 想 面 前 空 處  離 身 七 肘 高 八 肘  現 一 
