segmentnr	original	folio	analyzed
ZH_X88_1658_002:0435b13	梵語之音楚夏。此翻雙王。亦云隻王。由兄與妹皆作	002	梵 語 之 音 楚 夏  此 翻 雙 王  亦 云 隻 王  由 兄 與 妹 皆 作 
ZH_X88_1658_002:0435b14	地獄之主。故名雙。兄治男事。妹治女事。故云隻。新譯	002	地 獄 之 主  故 名 雙  兄 治 男 事  妹 治 女 事  故 云 隻  新 譯 
ZH_X88_1658_002:0435b15	云靜息。俱舍譯云息諍。由此止息罪人諍故。或以業	002	云 靜 息  俱 舍 譯 云 息 諍  由 此 止 息 罪 人 諍 故  或 以 業 
ZH_X88_1658_002:0435b16	鏡。或示罪惡之處。及與伴類。令明了故。顯揚論．正法	002	鏡  或 示 罪 惡 之 處  及 與 伴 類  令 明 了 故  顯 揚 論  正 法 
ZH_X88_1658_002:0435b17	念經以鬼趣収。瑜伽論開地獄趣収。探玄記云。依諸	002	念 經 以 鬼 趣 収  瑜 伽 論 開 地 獄 趣 収  探 玄 記 云  依 諸 
ZH_X88_1658_002:0435b18	聖教。說有五種。一是地獄趣攝。如瑜伽第二說。二是	002	聖 教  說 有 五 種  一 是 地 獄 趣 攝  如 瑜 伽 第 二 說  二 是 
ZH_X88_1658_002:0435b19	鬼趣攝。如瑜伽菩薩地說。更有經文不錄。三非二趣	002	鬼 趣 攝  如 瑜 伽 菩 薩 地 說  更 有 經 文 不 錄  三 非 二 趣 
ZH_X88_1658_002:0435b20	攝。如華嚴經文。別有閻羅王趣故。四是變化如觀佛	002	攝  如 華 嚴 經 文  別 有 閻 羅 王 趣 故  四 是 變 化 如 觀 佛 
ZH_X88_1658_002:0435b21	三昧經第五說及二十唯識等說。五是菩薩作。如瑜	002	三 昧 經 第 五 說 及 二 十 唯 識 等 說  五 是 菩 薩 作  如 瑜 
ZH_X88_1658_002:0435b22	伽第七十七卷云。炎魔名法王。為利益為作損。應言	002	伽 第 七 十 七 卷 云  炎 魔 名 法 王  為 利 益 為 作 損  應 言 
ZH_X88_1658_002:0435b23	唯作益。故知是菩薩也。又正法念經中閻羅王為人	002	唯 作 益  故 知 是 菩 薩 也  又 正 法 念 經 中 閻 羅 王 為 人 
ZH_X88_1658_002:0435b24	說偈言。汝得人身不修道。如至寶山空手歸。汝令自	002	說 偈 言  汝 得 人 身 不 修 道  如 至 寶 山 空 手 歸  汝 令 自 
ZH_X88_1658_002:0435c01	作還自受。呌喚苦者欲何為。言地獄者。梵語捺落處。	002	作 還 自 受  呌 喚 苦 者 欲 何 為  言 地 獄 者  梵 語 捺 落 處  
ZH_X88_1658_002:0435c02	此云苦噐。圭山修證儀云。順世間稱為牢獄。今以地	002	此 云 苦 噐  圭 山 修 證 儀 云  順 世 間 稱 為 牢 獄  今 以 地 
ZH_X88_1658_002:0435c03	下有獄。故稱地獄。若正翻。當云苦噐。言盛貯苦人之	002	下 有 獄  故 稱 地 獄  若 正 翻  當 云 苦 噐  言 盛 貯 苦 人 之 
ZH_X88_1658_002:0435c04	器。今義淨翻地獄也。淨土三昧經云。閻羅鬼王總治	002	器  今 義 淨 翻 地 獄 也  淨 土 三 昧 經 云  閻 羅 鬼 王 總 治 
ZH_X88_1658_002:0435c05	一百四十地獄。正法念經云。閻羅王在冥司。三時自	002	一 百 四 十 地 獄  正 法 念 經 云  閻 羅 王 在 冥 司  三 時 自 
ZH_X88_1658_002:0435c06	受其苦。宮殿皆變炎熾鐵城。所食鐵丸銅汁等以酬	002	受 其 苦  宮 殿 皆 變 炎 熾 鐵 城  所 食 鐵 丸 銅 汁 等 以 酬 
ZH_X88_1658_002:0435c07	惡報也。過已還舉善心。復見宮殿百寶莊嚴。以酬善	002	惡 報 也  過 已 還 舉 善 心  復 見 宮 殿 百 寶 莊 嚴  以 酬 善 
ZH_X88_1658_002:0435c08	因也。阿含經云。閻浮提南有金剛山。山中有宮殿。縱	002	因 也  阿 含 經 云  閻 浮 提 南 有 金 剛 山  山 中 有 宮 殿  縱 
ZH_X88_1658_002:0435c09	廣六十由旬。地獄經云。城廣三萬里。金銀所成。有十	002	廣 六 十 由 旬  地 獄 經 云  城 廣 三 萬 里  金 銀 所 成  有 十 
ZH_X88_1658_002:0435c10	八小王。淨土三昧經云。有三十獄王。十王經云。閻羅	002	八 小 王  淨 土 三 昧 經 云  有 三 十 獄 王  十 王 經 云  閻 羅 
ZH_X88_1658_002:0435c11	於未來世作佛。號曰普王如來。集要云。閻浮洲南二	002	於未來世 作 佛  號 曰 普 王 如 來  集 要 云  閻 浮 洲 南 二 
ZH_X88_1658_002:0435c12	鐵圍山外。有閻羅王宮殿。縱廣六十由旬。七重墻壁。	002	鐵 圍 山 外  有 閻 羅 王 宮 殿  縱 廣 六 十 由 旬  七 重 墻 壁  
ZH_X88_1658_002:0435c13	七重欄楯。七重鈴網。其外七重多羅行樹。臺殿園苑	002	七 重 欄 楯  七 重 鈴 網  其 外 七 重 多 羅 行 樹  臺 殿 園 苑 
ZH_X88_1658_002:0435c14	種種可觀。王以惡業自然而有。赤鎔銅汁在前殿。即	002	種 種 可 觀  王 以 惡 業 自 然 而 有  赤 鎔 銅 汁 在 前 殿  即 
ZH_X88_1658_002:0435c15	變成鐵。五欲功德皆沒。王見此已。怖畏不安。即走入	002	變 成 鐵  五 欲 功 德 皆 沒  王 見 此 已  怖 畏 不 安  即 走 入 
ZH_X88_1658_002:0435c16	內。時守獄者取王高舉撲之。以鎔銅汁瀉置口中。次	002	內  時 守 獄 者 取 王 高 舉 撲 之  以 鎔 銅 汁 瀉 置 口 中  次 
ZH_X88_1658_002:0435c17	第焦爛。從下而出。王作是念。所住宮殿等由昔作惡	002	第 焦 爛  從 下 而 出  王 作 是 念  所 住 宮 殿 等 由 昔 作 惡 
ZH_X88_1658_002:0435c18	悉皆隱沒。今受此苦。願捨是身。於佛法中出家入道。	002	悉 皆 隱 沒  今 受 此 苦  願 捨 是 身  於佛法中 出家入道  
ZH_X88_1658_002:0435c19	既發善念。所住宮殿還復如舊。便得快樂。言其惡因	002	既 發 善 念  所 住 宮 殿 還 復 如 舊  便 得 快 樂  言 其 惡 因 
ZH_X88_1658_002:0435c20	者。昔毗沙王與維陀始王共戰。兵刀不如。遂與十八	002	者  昔 毗 沙 王 與 維 陀 始 王 共 戰  兵 刀 不 如  遂 與 十 八 
ZH_X88_1658_002:0435c21	大臣及百萬眾同發願言。願我復生為地獄主。治此	002	大 臣 及 百 萬 眾 同 發 願 言  願 我 復 生 為 地 獄 主  治 此 
ZH_X88_1658_002:0435c22	罪人。今日惡報。願悉現前。其壽限也。俱舍說等活地	002	罪 人  今 日 惡 報  願 悉 現 前  其 壽 限 也  俱 舍 說 等 活 地 
ZH_X88_1658_002:0435c23	獄與四天王天等。其八大獄倍倍增之。嗚呼。善惡之	002	獄 與 四天王天 等  其 八 大 獄 倍 倍 增 之  嗚 呼  善 惡 之 
ZH_X88_1658_002:0435c24	報如影隨形。端不虗矣。而其苦樂端由一念故。所以	002	報 如 影 隨 形  端 不 虗 矣  而 其 苦 樂 端 由 一 念 故  所 以 
ZH_X88_1658_002:0436a01	閻羅善念纔興。苦相即滅。其由明來暗去耳。藥師又	002	閻 羅 善 念 纔 興  苦 相 即 滅  其 由 明 來 暗 去 耳  藥 師 又 
ZH_X88_1658_002:0436a02	云。一切眾生有俱生神。隨其善惡悉皆記錄。授與琰	002	云  一 切 眾 生 有 俱 生 神  隨 其 善 惡 悉 皆 記 錄  授 與 琰 
ZH_X88_1658_002:0436a03	摩法王之使。隨其善惡而處斷之。又五天使者經云。	002	摩 法 王 之 使  隨 其 善 惡 而 處 斷 之  又 五 天 使 者 經 云  
ZH_X88_1658_002:0436a04	閻羅見罪人必切齒相責。曾遣髮白目暗耳聾病瘦	002	閻 羅 見 罪 人 必 切 齒 相 責  曾 遣 髮 白 目 暗 耳 聾 病 瘦 
ZH_X88_1658_002:0436a05	無力五使者相報。云何不知則於警覺。於人誠大權	002	無 力 五 使 者 相 報  云 何 不 知 則 於 警 覺  於 人 誠 大 權 
ZH_X88_1658_002:0436a06	也。所以瑜伽稱為唯益。藥師名王之使。十王記為普	002	也  所 以 瑜 伽 稱 為 唯 益  藥 師 名 王 之 使  十 王 記 為 普 
ZH_X88_1658_002:0436a07	王如來。良有以也。此實冥府之主。地獄之尊。光明鬼	002	王 如 來  良 有 以 也  此 實 冥 府 之 主  地 獄 之 尊  光 明 鬼 
ZH_X88_1658_002:0436a08	神品特列其名。既崇法會得不崇奉者乎。讚曰。	002	神 品 特 列 其 名  既 崇 法 會 得 不 崇 奉 者 乎  讚 曰  
ZH_X88_1658_002:0436a09	　閻摩杜羅乃雙王　　主於冥府事多彰	002	 閻 摩 杜 羅 乃 雙 王   主 於 冥 府 事 多 彰 
ZH_X88_1658_002:0436a10	　兄妹分治男女獄　　或稱鬼趣或分張	002	 兄 妹 分 治 男 女 獄   或 稱 鬼 趣 或 分 張 
ZH_X88_1658_002:0436a11	　或說化現或菩薩　　隨其識境現難量	002	 或 說 化 現 或 菩 薩   隨 其 識 境 現 難 量 
ZH_X88_1658_002:0436a12	　十八小王三十眾　　咸參治事考條章	002	 十 八 小 王 三 十 眾   咸 參 治 事 考 條 章 
ZH_X88_1658_002:0436a13	　見罪人至必呵責　　自作自受苦須當	002	 見 罪 人 至 必 呵 責   自 作 自 受 苦 須 當 
ZH_X88_1658_002:0436a14	　所治苦噐地下獄　　所居宮殿類天堂	002	 所 治 苦 噐 地 下 獄   所 居 宮 殿 類 天 堂 
ZH_X88_1658_002:0436a15	　其城住在閻浮下　　七重行樹七重墻	002	 其 城 住 在 閻 浮 下   七重行樹 七 重 墻 
ZH_X88_1658_002:0436a16	　三時惡報王亦受　　鐵丸吞食飲銅漿	002	 三 時 惡 報 王 亦 受   鐵 丸 吞 食 飲 銅 漿 
ZH_X88_1658_002:0436a17	　善心忽發祈依佛　　出家入道向僧坊	002	 善 心 忽 發 祈 依 佛   出家入道 向 僧 坊 
ZH_X88_1658_002:0436a18	　所居还復同天報　　再羅侍從顯靈光	002	 所 居 还 復 同 天 報   再 羅 侍 從 顯 靈 光 
ZH_X88_1658_002:0436a19	　五天遣使令知覺　　信應警策念無常	002	 五 天 遣 使 令 知 覺   信 應 警 策 念 無 常 
ZH_X88_1658_002:0436a20	　佛曾親授當來記　　普王遍證菩提場	002	 佛 曾 親 授 當 來 記   普 王 遍 證 菩 提 場 
ZH_X88_1658_002:0436a21	　大權今日司幽陰　　但增利益濟無央	002	 大 權 今 日 司 幽 陰   但 增 利 益 濟 無 央 
ZH_X88_1658_002:0436a22	　既有恩光利存沒　　是宜法會略稱揚	002	 既 有 恩 光 利 存 沒   是 宜 法 會 略 稱 揚 
ZH_X88_1658_002:0436a23	傳後續辯	002	傳 後 續 辯 
ZH_X88_1658_002:0436a24	昔智者法師嘗曰。男天女天所以不同。盖彰慈威折	002	昔 智 者 法 師 嘗 曰  男 天 女 天 所 以 不 同  盖 彰 慈 威 折 
ZH_X88_1658_002:0436b01	攝。然此論其相儀耳。非定男女也。如四王．金剛．韋天．	002	攝  然 此 論 其 相 儀 耳  非 定 男 女 也  如 四 王  金 剛  韋 天  
ZH_X88_1658_002:0436b02	散脂．娑竭．閻摩之類。乃男天也。梵釋摩醯．功德．大辨．	002	散 脂  娑 竭  閻 摩 之 類  乃 男 天 也  梵 釋 摩 醯  功 德  大 辨  
ZH_X88_1658_002:0436b03	地神．樹神．鬼子母．摩利支．日月天子。皆女天也。男天	002	地 神  樹 神  鬼 子 母  摩 利 支  日 月 天 子  皆 女 天 也  男 天 
ZH_X88_1658_002:0436b04	故威而折。女天故慈而攝。然此亦大槩之論。且如大	002	故 威 而 折  女 天 故 慈 而 攝  然 此 亦 大 槩 之 論  且 如 大 
ZH_X88_1658_002:0436b05	辨．摩醯摩利支或現八臂。手執利噐。豈專慈也。韋天	002	辨  摩 醯 摩 利 支 或 現 八 臂  手 執 利 噐  豈 專 慈 也  韋 天 
ZH_X88_1658_002:0436b06	作童男形。豈專威也。故在諸天慈威折攝無不具者。	002	作 童 男 形  豈 專 威 也  故 在 諸 天 慈 威 折 攝 無 不 具 者  
ZH_X88_1658_002:0436b07	就其勝而言之可也。	002	就 其 勝 而 言 之 可 也  
ZH_X88_1658_002:0436b08	右辨慈威折攝。	002	右 辨 慈 威 折 攝  
ZH_X88_1658_002:0436b09	摩醯首羅。色頂天主。亦三界主。故云尊極梵王。色界	002	摩 醯 首 羅  色 頂 天 主  亦 三 界 主  故 云 尊 極 梵 王  色 界 
ZH_X88_1658_002:0436b10	天主亦大千主。故以有覺觀。故統上冠下。故云號令	002	天 主 亦 大 千 主  故 以 有 覺 觀  故 統 上 冠 下  故 云 號 令 
ZH_X88_1658_002:0436b11	主。帝釋地居天主。亦三十三天主。亦欲界主。此即智	002	主  帝 釋 地 居 天 主  亦 三十三天 主  亦 欲 界 主  此 即 智 
ZH_X88_1658_002:0436b12	論三天主也。四王四方四界之主。亦八部主。又二十	002	論 三 天 主 也  四 王 四 方 四 界 之 主  亦 八 部 主  又 二 十 
ZH_X88_1658_002:0436b13	八部三十二將主。金剛密迹護千佛教法主。散脂二	002	八 部 三 十 二 將 主  金 剛 密 迹 護 千 佛 教 法 主  散 脂 二 
ZH_X88_1658_002:0436b14	十八部主。韋天三洲護法主。地神百糓主。樹神菩提	002	十 八 部 主  韋 天 三 洲 護 法 主  地 神 百 糓 主  樹 神 菩 提 
ZH_X88_1658_002:0436b15	場主。鬼子母鬼王母主。護男女主。摩利支天救兵難	002	場 主  鬼 子 母 鬼 王 母 主  護 男 女 主  摩 利 支 天 救 兵 難 
ZH_X88_1658_002:0436b16	主。日月天子為晝夜光明主。娑竭羅五龍主。閻摩羅	002	主  日 月 天 子 為 晝 夜 光 明 主  娑 竭 羅 五 龍 主  閻 摩 羅 
ZH_X88_1658_002:0436b17	幽冥主。此皆世間主也。獨有功德天主世出世福德。	002	幽 冥 主  此 皆 世 間 主 也  獨 有 功 德 天 主 世 出 世 福 德  
ZH_X88_1658_002:0436b18	大辨才主世出世智慧。乃二嚴主。所以光明獨於散	002	大 辨 才 主 世 出 世 智 慧  乃 二 嚴 主  所 以 光 明 獨 於 散 
ZH_X88_1658_002:0436b19	脂品中稱之。意在此也。百錄令特奉之。亦為此也。然	002	脂 品 中 稱 之  意 在 此 也  百 錄 令 特 奉 之  亦 為 此 也  然 
ZH_X88_1658_002:0436b20	若列梵釋等世主。自當回護。欲以臣佐而居帝王之	002	若 列 梵 釋 等 世 主  自 當 回 護  欲 以 臣 佐 而 居 帝 王 之 
ZH_X88_1658_002:0436b21	上。恐不可也。	002	上  恐 不 可 也  
ZH_X88_1658_002:0436b22	右辨眾天所主。	002	右 辨 眾 天 所 主  
ZH_X88_1658_002:0436b23	或云諸天之本莫非大權。故經云。一切皆是大菩薩	002	或 云 諸 天 之 本 莫 非 大 權  故 經 云  一 切 皆 是 大 菩 薩 
ZH_X88_1658_002:0436b24	等。而迹示天身。然推其本。則何獨天神。所以常不輕	002	等  而 迹 示 天 身  然 推 其 本  則 何 獨 天 神  所 以 常 不 輕 
ZH_X88_1658_002:0436c01	禮一切眾。唐飛錫念未來佛。而百錄之中不許僧禮	002	禮 一 切 眾  唐 飛 錫 念 未 來 佛  而 百 錄 之 中 不 許 僧 禮 
ZH_X88_1658_002:0436c02	天者。盖就迹之顯了故也。談天之本迹者。當須察此。	002	天 者  盖 就 迹 之 顯 了 故 也  談 天 之 本 迹 者  當 須 察 此  
ZH_X88_1658_002:0436c03	右辯天本迹。	002	右 辯 天 本 迹  
ZH_X88_1658_002:0436c04	或云散脂密迹洎龍王閻羅地神樹神安得稱天。或	002	或 云 散 脂 密 迹 洎 龍 王 閻 羅 地 神 樹 神 安 得 稱 天  或 
ZH_X88_1658_002:0436c05	鬼趣藥叉品類別故。然法苑云。天有四種。一世間天。	002	鬼 趣 藥 叉 品 類 別 故  然 法 苑 云  天 有 四 種  一 世 間 天  
ZH_X88_1658_002:0436c06	諸國王受天福。二生天。四王已上至非非想。三淨天。	002	諸 國 王 受 天 福  二 生 天  四 王 已 上 至 非 非 想  三 淨 天  
ZH_X88_1658_002:0436c07	須陀洹至菩薩。四解義天。於文義自在。又婆娑沙論	002	須 陀 洹 至 菩 薩  四 解 義 天  於 文 義 自 在  又 婆 娑 沙 論 
ZH_X88_1658_002:0436c08	云。光明照曜故名為天。又天者自然自在為義。若爾	002	云  光 明 照 曜 故 名 為 天  又 天 者 自 然 自 在 為 義  若 爾 
ZH_X88_1658_002:0436c09	則雖娑竭龍身閻摩鬼趣皆受天福。宮殿百寶豈非	002	則 雖 娑 竭 龍 身 閻 摩 鬼 趣 皆 受 天 福  宮 殿 百 寶 豈 非 
ZH_X88_1658_002:0436c10	可以稱天乎。舊說云云。今所不取。	002	可 以 稱 天 乎  舊 說 云 云  今 所 不 取  
ZH_X88_1658_002:0436c11	右辯通稱為天。	002	右 辯 通 稱 為 天  
ZH_X88_1658_002:0436c12	或云梵釋之尊。鬼趣之劣。安得同列(此舊傳文)。今謂如常	002	或 云 梵 釋 之 尊  鬼 趣 之 劣  安 得 同 列  此 舊 傳 文   今 謂 如 常 
ZH_X88_1658_002:0436c13	佛會。八部同臨。華嚴四十二眾。凡聖皆列。諸經廣有	002	佛 會  八 部 同 臨  華 嚴 四 十 二 眾  凡 聖 皆 列  諸 經 廣 有 
ZH_X88_1658_002:0436c14	其文。何獨至疑於此耶。	002	其 文  何 獨 至 疑 於 此 耶  
ZH_X88_1658_002:0436c15	右辨尊劣同列。	002	右 辨 尊 劣 同 列  
ZH_X88_1658_002:0436c16	近有偽書。號總聖錄。出十六天并韋天。昔因其間曰。	002	近 有 偽 書  號 總 聖 錄  出 十 六 天 并 韋 天  昔 因 其 間 曰  
ZH_X88_1658_002:0436c17	幾世為國王。幾世為長者等。考之藏典。並無所據。又	002	幾 世 為 國 王  幾 世 為 長 者 等  考 之 藏 典  並 無 所 據  又 
ZH_X88_1658_002:0436c18	云一千二百卷在西竺。一百二十卷在唐土。皆不根	002	云 一 千 二 百 卷 在 西 竺  一 百 二 十 卷 在 唐 土  皆 不 根 
ZH_X88_1658_002:0436c19	之語。若果西域有之而傳此方。合有譯師翻傳之事。	002	之 語  若 果 西 域 有 之 而 傳 此 方  合 有 譯 師 翻 傳 之 事  
ZH_X88_1658_002:0436c20	請見者詳之。	002	請 見 者 詳 之  
ZH_X88_1658_002:0436c21	右辨總聖錄偽。	002	右 辨 總 聖 錄 偽  
ZH_X88_1658_002:0436c23	重編諸天傳下卷(終)	002	重 編 諸 天 傳 下 卷  終  
ZH_X88_1658_002:0437a04	武康德證萬歲寺比丘紹德。嘗聞諸天護法多諸	002	武 康 德 證 萬 歲 寺 比 丘 紹 德  嘗 聞 諸 天 護 法 多 諸 
ZH_X88_1658_002:0437a05	靈應。必有傳記載其本末。甲戌春偶得諸天列傳	002	靈 應  必 有 傳 記 載 其 本 末  甲 戌 春 偶 得 諸 天 列 傳 
ZH_X88_1658_002:0437a06	於西余山大覺寺明上座。庶遂平生之願。於是捨	002	於 西 余 山 大 覺 寺 明 上 座  庶 遂 平 生 之 願  於 是 捨 
ZH_X88_1658_002:0437a07	財刊梓廣其傳。	002	財 刊 梓 廣 其 傳  
ZH_X88_1658_002:0437a08	旹元統乙亥夏五日謹誌	002	旹 元 統 乙 亥 夏 五 日 謹 誌 
ZH_X88_1658_002:0437a10	諸天總呪曰。唵路迦路迦佉羅耶娑婆呵	002	諸 天 總 呪 曰  唵 路 迦 路 迦 佉 羅 耶 娑 婆 呵 
ZH_X88_1658_002:0437a12	君　大梵尊天	002	君  大 梵 尊 天 
ZH_X88_1658_002:0437a13	臣　諸天皆臣屬	002	臣  諸 天 皆 臣 屬 
ZH_X88_1658_002:0437a14	主　三目摩醯為大千主　帝釋主地居三十三	002	主  三 目 摩 醯 為 大 千 主  帝 釋 主 地 居 三 十 三 
ZH_X88_1658_002:0437a15	天四王	002	天 四 王 
ZH_X88_1658_002:0437a16	賓　大辨在山澤功德在北天園中皆客寄耳	002	賓  大 辨 在 山 澤 功 德 在 北 天 園 中 皆 客 寄 耳 
ZH_X88_1658_002:0437a17	男　梵釋四王男天	002	男  梵 釋 四 王 男 天 
ZH_X88_1658_002:0437a18	女　功德辨才地神樹神鬼子母有女功德天有	002	女  功 德 辨 才 地 神 樹 神 鬼 子 母 有 女 功 德 天 有 
ZH_X88_1658_002:0437a19	男散脂脩摩	002	男 散 脂 脩 摩 
ZH_X88_1658_002:0437a20	本	002	本 
ZH_X88_1658_002:0437a21	迹	002	迹 
ZH_X88_1658_002:0437b04	宋高宗建炎三年己酉八月二十一日。杭州上天	002	宋 高 宗 建 炎 三 年 己 酉 八 月 二 十 一 日  杭 州 上 天 
ZH_X88_1658_002:0437b05	竺惠覺法師齊璧入寂。石林葉夢得銘其塔。嗣子	002	竺 惠 覺 法 師 齊 璧 入 寂  石 林 葉 夢 得 銘 其 塔  嗣 子 
ZH_X88_1658_002:0437b06	神煥甞考論諸天行位。以君臣賓主男女本迹為	002	神 煥 甞 考 論 諸 天 行 位  以 君 臣 賓 主 男 女 本 迹 為 
ZH_X88_1658_002:0437b07	綱目。謂大梵尊天君臨三界。統上冠下。諸天皆其	002	綱 目  謂 大 梵 尊 天 君 臨 三 界  統 上 冠 下  諸 天 皆 其 
ZH_X88_1658_002:0437b08	臣屬也。大梵為三界主。三目摩醯為大千主。帝釋	002	臣 屬 也  大 梵 為 三 界 主  三 目 摩 醯 為 大 千 主  帝 釋 
ZH_X88_1658_002:0437b09	主地居三十三天。四王主領八部。雖君臣不同。要	002	主 地 居 三十三天  四 王 主 領 八 部  雖 君 臣 不 同  要 
ZH_X88_1658_002:0437b10	各有主義。若大辨在山澤。功德在北天。園中皆客	002	各 有 主 義  若 大 辨 在 山 澤  功 德 在 北 天  園 中 皆 客 
ZH_X88_1658_002:0437b11	寄耳。實無所主領也。梵釋四王是男天。功德大辯	002	寄 耳  實 無 所 主 領 也  梵 釋 四 王 是 男 天  功 德 大 辯 
ZH_X88_1658_002:0437b12	地神樹神皆女天。不可使男女失序。況鬼子母有	002	地 神 樹 神 皆 女 天  不 可 使 男 女 失 序  況 鬼 子 母 有 
ZH_X88_1658_002:0437b13	女名功德天。有男名散脂脩摩。今子居母上。可謂	002	女 名 功 德 天  有 男 名 散 脂 脩 摩  今 子 居 母 上  可 謂 
ZH_X88_1658_002:0437b14	之以母從子。其可居天主之上乎。梵釋四王本是	002	之 以 母 從 子  其 可 居 天 主 之 上 乎  梵 釋 四 王 本 是 
ZH_X88_1658_002:0437b15	地住菩薩。金剛密迹本護千兄成佛。不揣其本而	002	地 住 菩 薩  金 剛 密 迹 本 護 千 兄 成 佛  不 揣 其 本 而 
ZH_X88_1658_002:0437b16	齊其迹可乎。知此四義然後始可與言天矣。	002	齊 其 迹 可 乎  知 此 四 義 然 後 始 可 與 言 天 矣  
ZH_X88_1658_002:0437b17	聖宗佛法源耳錄九	002	聖 宗 佛 法 源 耳 錄 九 
